Family,Genus_name,Species_name,Clutch_size,English_name
3,Dromaius,Dromaius novaehollandiae,8.98,Emu
4,Apteryx,Apteryx australis,2,Brown Kiwi
4,Apteryx,Apteryx haastii,1,Great Spotted Kiwi
4,Apteryx,Apteryx owenii,1,Little Spotted Kiwi
6,Ortalis,Ortalis vetula,2.88,Plain Chachalaca
7,Alectura,Alectura lathami,14.78,Australian Brush-turkey
7,Leipoa,Leipoa ocellata,18.6,Malleefowl
7,Megapodius,Megapodius reinwardt,5.5,Orange-footed Scrubfowl
8,Afropavo,Afropavo congensis,3,Congo Peafowl
8,Alectoris,Alectoris barbara,12,Barbary Partridge
8,Alectoris,Alectoris chukar,11.5,Chukar
8,Alectoris,Alectoris graeca,11,Rock Partridge
8,Alectoris,Alectoris rufa,13,Red-legged Partridge
8,Ammoperdix,Ammoperdix griseogularis,10,See-see Partridge
8,Ammoperdix,Ammoperdix heyi,10,Sand Partridge
8,Bonasa,Bonasa bonasia,9,Hazel Grouse
8,Bonasa,Bonasa umbellus,11.03,Ruffed Grouse
8,Centrocercus,Centrocercus urophasianus,7.35,Sage Grouse
8,Chrysolophus,Chrysolophus pictus,8.5,Golden Pheasant
8,Coturnix,Coturnix chinensis,6.5,Blue-breasted Quail
8,Coturnix,Coturnix coturnix,10.5,Common Quail
8,Coturnix,Coturnix delegorguei,6,Harlequin Quail
8,Coturnix,Coturnix pectoralis,7.6,Stubble Quail
8,Coturnix,Coturnix ypsilophora,7.9,Brown Quail
8,Dendragapus,Dendragapus obscurus,7.1,Blue Grouse
8,Francolinus,Francolinus adspersus,6.7,Red-billed Francolin
8,Francolinus,Francolinus afer,6,Red-necked Spurfowl
8,Francolinus,Francolinus africanus,5,Grey-winged Francolin
8,Francolinus,Francolinus ahantensis,5,Ahanta Francolin
8,Francolinus,Francolinus albogularis,6,White-throated Francolin
8,Francolinus,Francolinus bicalcaratus,6,Double-spurred Francolin
8,Francolinus,Francolinus capensis,7.4,Cape Francolin
8,Francolinus,Francolinus castaneicollis,5.5,Chestnut-naped Francolin
8,Francolinus,Francolinus coqui,4.5,Coqui Francolin
8,Francolinus,Francolinus erckelii,7,Erckel's Francolin
8,Francolinus,Francolinus finschi,5,Finsch's Francolin
8,Francolinus,Francolinus francolinus,10,Black Francolin
8,Francolinus,Francolinus hildebrandti,6,Hildebrandt's Francolin
8,Francolinus,Francolinus icterorhynchus,7,Heuglin's Francolin
8,Francolinus,Francolinus lathami,2,Forest Francolin
8,Francolinus,Francolinus leucoscepus,5,Yellow-necked Spurfowl
8,Francolinus,Francolinus levaillantii,5,Red-winged Francolin
8,Francolinus,Francolinus levaillantoides,6.5,OrangeRiver Francolin
8,Francolinus,Francolinus nahani,4,Nahan's Francolin
8,Francolinus,Francolinus natalensis,5,Natal Francolin
8,Francolinus,Francolinus psilolaemus,3,Moorland Francolin
8,Francolinus,Francolinus rufopictus,4.5,Grey-breasted Spurfowl
8,Francolinus,Francolinus schlegelii,3.5,Schlegel's Francolin
8,Francolinus,Francolinus sephaena,6,Crested Francolin
8,Francolinus,Francolinus shelleyi,4.5,Shelley's Francolin
8,Francolinus,Francolinus squamatus,6,Scaly Francolin
8,Francolinus,Francolinus streptophorus,4.5,Ring-necked Francolin
8,Francolinus,Francolinus swainsonii,5.5,Swainson's Spurfowl
8,Lagopus,Lagopus lagopus,7.5,Willow Ptarmigan
8,Lagopus,Lagopus leucurus,5.21,White-tailed Ptarmigan
8,Lagopus,Lagopus mutus,7.23,Rock Ptarmigan
8,Meleagris,Meleagris gallopavo,10.52,Wild Turkey
8,Perdix,Perdix perdix,15,Grey Partridge
8,Phasianus,Phasianus colchicus,11.5,Common Pheasant
8,Ptilopachus,Ptilopachus petrosus,5,Stone Partridge
8,Tetrao,Tetrao mlokosiewiczi,6,Caucasian Grouse
8,Tetrao,Tetrao tetrix,8.5,Black Grouse
8,Tetrao,Tetrao urogallus,8,Western Capercaillie
8,Tetraogallus,Tetraogallus caspius,7.5,Caspian Snowcock
8,Tympanuchus,Tympanuchus cupido,10.55,Greater Prairie-chicken
8,Tympanuchus,Tympanuchus pallidicinctus,11.42,Lesser Prairie-chicken
8,Tympanuchus,Tympanuchus phasianellus,11.78,Sharp-tailed Grouse
9,Guttera,Guttera plumifera,9.5,Plumed Guineafowl
9,Guttera,Guttera pucherani,4.5,Crested Guineafowl
9,Numida,Numida meleagris,8,Helmeted Guineafowl
10,Colinus,Colinus virginianus,6.5,Northern Bobwhite
10,Cyrtonyx,Cyrtonyx montezumae,10.6,Montezuma Quail
10,Oreortyx,Oreortyx pictus,10.9,Mountain Quail
12,Anseranas,Anseranas semipalmata,9.05,Magpie Goose
13,Dendrocygna,Dendrocygna arcuata,10.5,Wandering Whistling-Duck
13,Dendrocygna,Dendrocygna autumnalis,13.4,Black-bellied Whistling-Duck
13,Dendrocygna,Dendrocygna bicolor,13.34,Fulvous Whistling-Duck
13,Dendrocygna,Dendrocygna eytoni,11,Plumed Whistling-Duck
13,Dendrocygna,Dendrocygna viduata,7.25,White-faced Whistling-Duck
13,Thalassornis,Thalassornis leuconotus,6.75,White-backed Duck
14,Aix,Aix galericulata,11.5,Mandarin Duck
14,Aix,Aix sponsa,10.95,Wood Duck
14,Alopochen,Alopochen aegyptiacus,8.5,Egyptian Goose
14,Anas,Anas acuta,8.3,Northern Pintail
14,Anas,Anas americana,8.48,American Wigeon
14,Anas,Anas aucklandica,3.5,Brown Teal
14,Anas,Anas capensis,8.09,Cape Teal
14,Anas,Anas castanea,9.5,Chestnut Teal
14,Anas,Anas clypeata,9.2,Northern Shoveler
14,Anas,Anas crecca,9.5,Common Teal
14,Anas,Anas cyanoptera,9.13,Cinnamon Teal
14,Anas,Anas discors,10.1,Blue-winged Teal
14,Anas,Anas eatoni,4.11,Eaton's Pintail
14,Anas,Anas erythrorhyncha,10,Red-billed Duck
14,Anas,Anas fulvigula,9.4,Mottled Duck
14,Anas,Anas gracilis,8.3,Grey Teal
14,Anas,Anas hottentota,7.1,Hottentot Teal
14,Anas,Anas laysanensis,3.8,Laysan Duck
14,Anas,Anas penelope,9,Eurasian Wigeon
14,Anas,Anas platyrhynchos,10.53,Mallard
14,Anas,Anas querquedula,8.5,Garganey
14,Anas,Anas rhynchotis,10,Australian Shoveler
14,Anas,Anas rubripes,9.33,American Black Duck
14,Anas,Anas smithii,9.36,Cape Shoveler
14,Anas,Anas strepera,9.96,Gadwall
14,Anas,Anas superciliosa,11,Pacific Black Duck
14,Anas,Anas undulata,7.8,Yellow-billed Duck
14,Anas,Anas wyvilliana,8.3,Hawaiian Duck
14,Anser,Anser albifrons,5.5,Greater White-fronted Goose
14,Anser,Anser brachyrhynchus,4.4,Pink-footed Goose
14,Anser,Anser erythropus,5.83,Lesser White-fronted Goose
14,Anser,Anser fabalis,5,Bean Goose
14,Aythya,Aythya affinis,9.91,Lesser Scaup
14,Aythya,Aythya australis,11,Hardhead
14,Aythya,Aythya collaris,8.84,Ring-necked Duck
14,Aythya,Aythya ferina,8.54,Common Pochard
14,Aythya,Aythya fuligula,9.5,Tufted Duck
14,Aythya,Aythya marila,9.5,Greater Scaup
14,Aythya,Aythya novaeseelandiae,7.39,New Zealand Scaup
14,Aythya,Aythya nyroca,9,Ferruginous Pochard
14,Aythya,Aythya valisineria,8.1,Canvasback
14,Biziura,Biziura lobata,2.8,Musk Duck
14,Branta,Branta bernicla,4,Brent Goose
14,Branta,Branta canadensis,5,Canada Goose
14,Branta,Branta sandvicensis,3.13,Nene
14,Bucephala,Bucephala clangula,9.3,Common Goldeneye
14,Bucephala,Bucephala islandica,9.5,Barrow's Goldeneye
