Elevation	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44	Sp45	Sp46	Sp47	Sp48	Sp49	Sp50
Elev_155	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Elev_228	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
Elev_285	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
Elev_316	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0
Elev_431	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0
Elev_540	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0
Elev_765	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1
Elev_786	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1
Elev_801	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1
Elev_1004	0	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1
Elev_1316	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0
Elev_1619	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0
Elev_1669	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0
Elev_1818	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0
Elev_1952	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0
Elev_2090	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0
Elev_2113	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0
Elev_2400	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0
Elev_2422	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0
Elev_2497	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0
Elev_2670	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0
Elev_2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Elev_3050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Elev_3051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Elev_3233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
