Site,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,Total,Period,Region
KDr8,516,93,9,32,45,86,3,77,0,3,6,0,30,0,0,1,0,14,0,5,0,3,13,0,7,0,4,3,1,0,0,951,Kebaran,Mediterranean
HayC,68,121,0,30,85,34,15,57,0,9,1,0,26,29,0,11,0,14,0,10,11,1,6,0,2,7,0,0,0,0,0,537,Kebaran,Mediterranean
EGI,0,128,0,54,49,0,1,0,0,0,0,38,0,19,47,0,0,4,40,8,1,0,0,0,0,2,0,0,0,0,0,391,Nizzanan,Mediterranean
EGII,0,51,0,7,6,0,0,0,0,0,0,7,0,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,82,Kebaran,Mediterranean
EGIII,16,45,23,12,3,0,12,0,0,0,0,0,0,5,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,142,Kebaran,Mediterranean
EGIV,0,0,0,69,7,0,79,0,0,51,54,0,0,4,0,0,9,1,1,0,7,3,0,0,1,0,0,0,1,0,0,287,Kebaran,Mediterranean
UR2a,75,2,0,9,41,0,0,1,0,0,0,25,3,3,0,0,6,1,0,0,0,0,1,0,6,0,0,1,2,0,2,178,Kebaran,Mediterranean
Fa3B,85,6,0,18,7,10,1,39,0,0,1,0,0,1,0,1,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,178,Kebaran,Mediterranean
Fa3A,595,428,15,196,172,205,3,3,0,2,0,0,12,14,0,14,0,9,0,15,12,2,3,0,3,0,0,2,2,0,0,1707,Kebaran,Mediterranean
Fa7,3,80,3,7,2,15,44,0,0,0,1,0,12,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,173,Kebaran,Mediterranean
WH26,3,128,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,153,Kebaran,Mediterranean
Jil6L,55,0,13,4,0,0,0,0,13,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,92,Nizzanan,Steppe
Jil6M,4,0,48,17,0,0,2,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,129,Nebekian,Steppe
Jil6U,35,0,30,21,0,0,33,0,9,65,53,9,0,0,0,0,0,0,0,0,0,26,0,8,0,0,3,0,0,0,0,292,Nebekian,Steppe
Uw14M,42,0,109,5,1,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,183,Nebekian,Steppe
Uw14U,3,0,85,4,2,0,0,0,19,0,0,1,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,128,Nebekian,Steppe
Uw18,166,0,167,7,0,0,0,0,4,0,0,9,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,360,Nebekian,Steppe
