row.num,Taxon,Swamp,NaCihadle
1,Actinotaenium_cruciferum_(De_Bary)_Teiling,0,1
2,Actinotaenium_cucurbita_(Ralfs)_Teiling,1,1
3,Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel,0,0
4,Closterium_cf._abruptum_W._West,0,0
5,Closterium_angustatum_Ralfs,0,0
6,Closterium_attenuatum_Ralfs,0,0
7,Closterium_baillyanum_(Ralfs)_Br_b.,1,0
8,Closterium_calosporum_Wittr.,1,0
9,Closterium_costatum_Ralfs,0,0
10,Closterium_dianae_Ralfs,1,0
11,Closterium_directum_W._Archer,0,0
12,Closterium_gracile_Ralfs,0,0
13,Closterium_juncidum_Ralfs,0,0
14,Closterium_lineatum_Ralfs,0,0
15,Closterium_lunula_Ralfs,0,0
16,Closterium_cf._macilentum_Br_b.,0,0
17,Closterium_navicula_(Br_b.)_Lôtkem.,0,0
18,Closterium_parvulum_N_geli,0,0
19,Closterium_pronum_Br_b.,0,0
20,Closterium_setaceum_Ralfs,0,0
21,Closterium_striolatum_Ralfs,1,1
22,Cosmarium_amoenum_Ralfs,0,0
23,Cosmarium_angulosum_Br_b.,0,0
24,Cosmarium_blyttii_Wille,0,0
25,Cosmarium_contractum_Kirchn.,0,0
26,Cosmarium_difficile_Lôtkem.,0,0
27,Cosmarium_discrepans___astn__et_Kouwets,0,0
28,Cosmarium_goniodes_var._subturgidum_W._et_G._S._West,0,0
29,Cosmarium_margaritiferum_Ralfs,0,0
30,Cosmarium_messikommeri_Coesel,0,0
31,Cosmarium_obsoletum_(Hantzsch)_Reinsch,0,0
32,Cosmarium_ordinatum_(BËrges.)_W._et_G_.S._West,0,0
33,Cosmarium_ornatum_Ralfs,0,0
34,Cosmarium_paragranatoides_Skuja,0,0
35,Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,1,0
36,Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,0,0
37,Cosmarium_pseudopyramidatum__P._Lundell,0,0
38,Cosmarium_cf._pseudoretusum_F._Ducell,0,0
39,Cosmarium_pyramidatum_Ralfs,0,0
40,Cosmarium_regnellii_Wille,0,0
41,Cosmarium_sphagnicolum_W._et_G._S._West,0,1
42,Cosmarium_tinctum_Ralfs,1,0
43,Cosmarium_sp._1,0,0
44,Cosmarium_sp._2_(smaller_C._contractum),0,0
45,Cosmarium_sp._3,0,0
46,Cylindrocystis_brebissonii_De_Bary,0,1
47,Cylindrocystis_crassa_De_Bary,0,0
48,Cylindrocystis_gracilis_I._Hirn,0,1
49,Euastrum_ansatum_Ralfs,0,0
50,Euastrum_binale_Ralfs,0,1
51,Euastrum_denticulatum_F._Gay,0,0
52,Euastrum_elegans_Ralfs,0,0
53,Euastrum_gayanum_De_Toni,0,0
54,Euastrum_humerosum_Ralfs,0,0
55,Euastrum_insigne_Ralfs,0,1
56,Euastrum_oblongum_Ralfs,0,0
57,Euastrum_pectinatum_Ralfs,0,0
58,Euastrum_pinnatum_Ralfs,0,0
59,Euastrum_verrucosum_Ralfs,0,0
60,Haplotaenium_minutum_(Ralfs)_Bando,0,0
61,Haplotaenium_rectum_(Delponte)_Bando,1,0
62,Mesotaenium_endlicherianum_N_geli,0,0
63,Micrasterias_jenneri_Ralfs,1,0
64,Micrasterias_oscitans_Ralfs,0,0
65,Micrasterias_rotata_Ralfs,0,0
66,Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad,0,0
67,Micrasterias_truncata_Ralfs,1,0
68,Netrium_digitus_Itzigs._et_Rothe,0,1
69,Netrium_oblongum_(De_Bary)_Lôtkem.,0,0
70,Penium_cylindrus_Ralfs,0,0
71,Penium_spirostriolatum_J._Barker,0,0
72,Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary,0,0
73,Staurastrum_aculeatum_Ralfs,0,0
