Site,North,East
Swamp_1.1,50.57583,14.67102
Swamp_1.2,50.57589,14.67093
Swamp_1.3,50.57594,14.67098
Swamp_2.1,50.57604,14.66999
Swamp_2.2,50.57604,14.66989
Swamp_2.3,50.57592,14.66985
Swamp_3.1,50.57894,14.6673
Swamp_3.2,50.57907,14.66721
Swamp_3.3,50.5791,14.66744
NaCihadle_1.1,50.83292,15.23148
NaCihadle_1.2,50.83285,15.23153
NaCihadle_1.3,50.83284,15.23145
NaCihadle_2.1,50.83283,15.2308
NaCihadle_2.2,50.83279,15.23081
NaCihadle_2.3,50.83281,15.2308
NaCihadle_3.1,50.8333,15.23065
NaCihadle_3.2,50.83339,15.23088
NaCihadle_3.3,50.83335,15.231
