Taxon,Swamp_1.1,Swamp_1.2,Swamp_1.3,Swamp_2.1,Swamp_2.2,Swamp_2.3,Swamp_3.1,Swamp_3.2,Swamp_3.3,NaCihadle_1.1,NaCihadle_1.2,NaCihadle_1.3,NaCihadle_2.1,NaCihadle_2.2,NaCihadle_2.3,NaCihadle_3.1,NaCihadle_3.2,NaCihadle_3.3
Actinotaenium_cruciferum_(De_Bary)_Teiling,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
Actinotaenium_cucurbita_(Ralfs)_Teiling,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Closterium_cf._abruptum_W._West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_angustatum_Ralfs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_attenuatum_Ralfs,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_baillyanum_(Ralfs)_Br_b.,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Closterium_calosporum_Wittr.,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_costatum_Ralfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_dianae_Ralfs,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_directum_W._Archer,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Closterium_gracile_Ralfs,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Closterium_juncidum_Ralfs,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Closterium_lineatum_Ralfs,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_lunula_Ralfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_cf._macilentum_Br_b.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_navicula_(Br_b.)_LÙtkem.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_parvulum_N_geli,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_pronum_Br_b.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Closterium_setaceum_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Closterium_striolatum_Ralfs,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Cosmarium_amoenum_Ralfs,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_angulosum_Br_b.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_blyttii_Wille,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_contractum_Kirchn.,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_difficile_LÙtkem.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_discrepans___astn__et_Kouwets,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_goniodes_var._subturgidum_W._et_G._S._West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_margaritiferum_Ralfs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_messikommeri_Coesel,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_obsoletum_(Hantzsch)_Reinsch,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_ordinatum_(BÀrges.)_W._et_G_.S._West,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_ornatum_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_paragranatoides_Skuja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_pseudopyramidatum__P._Lundell,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_cf._pseudoretusum_F._Ducell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_pyramidatum_Ralfs,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_regnellii_Wille,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_sphagnicolum_W._et_G._S._West,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Cosmarium_tinctum_Ralfs,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_sp._1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_sp._2_(smaller_C._contractum),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmarium_sp._3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cylindrocystis_brebissonii_De_Bary,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Cylindrocystis_crassa_De_Bary,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cylindrocystis_gracilis_I._Hirn,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Euastrum_ansatum_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_binale_Ralfs,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
Euastrum_denticulatum_F._Gay,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_elegans_Ralfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_gayanum_De_Toni,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_humerosum_Ralfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_insigne_Ralfs,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
Euastrum_oblongum_Ralfs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_pectinatum_Ralfs,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Euastrum_pinnatum_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Euastrum_verrucosum_Ralfs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haplotaenium_minutum_(Ralfs)_Bando,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Haplotaenium_rectum_(Delponte)_Bando,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mesotaenium_endlicherianum_N_geli,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Micrasterias_jenneri_Ralfs,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Micrasterias_oscitans_Ralfs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micrasterias_rotata_Ralfs,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Micrasterias_truncata_Ralfs,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netrium_digitus_Itzigs._et_Rothe,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Netrium_oblongum_(De_Bary)_LÙtkem.,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Penium_cylindrus_Ralfs,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Penium_spirostriolatum_J._Barker,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_aculeatum_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_hirsutum_Ralfs,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Staurastrum_hystrix_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_inflexum_Br_b.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_micron_W._et_G._S._West,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_minimum_Coesel,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_polymorphum_Ralfs,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_punctulatum_Ralfs,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
