,pH,pH_SE,Conduct,Conduct_SE,Total_Nitrogen,Total_Nitrogen_SE,Total_Phosphorus,Total_Phosphorus_SE
Swamp_All,5,0.1,100.1,4.2,3.4,0.6,0.14,0.02
Swamp_1.1,4.6,0.1,91.6,14.2,2.3,1,0.17,0.05
Swamp_1.2,5.5,0.1,95.4,9.9,2.3,1,0.17,0.05
Swamp_1.3,5.3,0.1,90.6,10,2.3,1,0.17,0.05
Swamp_2.1,5.7,0.1,96.7,10.9,3,1.5,0.18,0.06
Swamp_2.2,5.8,0.1,89.3,9.5,3,1.5,0.18,0.06
Swamp_2.3,5.3,0.2,92.8,10.5,3,1.5,0.18,0.06
Swamp_3.1,4.3,0.1,116.7,15.6,5,2.6,0.07,0.03
Swamp_3.2,4.4,0.1,115.4,15.7,5,2.6,0.07,0.03
Swamp_3.3,4.4,0.1,112.4,15.4,5,2.6,0.07,0.03
NaCihadle_All,4.4,0,15.3,0.5,7,0.7,0.12,0.01
NaCihadle_1.1,4.6,0.1,15,1.9,9.1,2.7,0.1,0.03
NaCihadle_1.2,4.6,0.1,11.8,1.2,8.9,3,0.1,0.03
NaCihadle_1.3,4.5,0.1,16.1,1.6,9.1,2.7,0.1,0.03
NaCihadle_2.1,4.3,0,15.6,1.8,7.5,1.8,0.1,0.02
NaCihadle_2.2,4.3,0,18.8,1.7,7.5,1.8,0.1,0.02
NaCihadle_2.3,4.3,0.1,17.8,1.5,7.5,1.8,0.1,0.02
NaCihadle_3.1,4.4,0,16,2,4.5,1.1,0.16,0.05
NaCihadle_3.2,4.5,0.1,13.1,0.7,4.5,1.1,0.16,0.05
NaCihadle_3.3,4.4,0.1,13.5,0.9,4.7,1.2,0.16,0.05
