"","Taxon","value","ecosystem","site","pool","lat","lon"
"1","Actinotaenium_cruciferum_(De_Bary)_Teiling",0,"Swamp","1","1",50.57583,14.67102
"2","Actinotaenium_cucurbita_(Ralfs)_Teiling",1,"Swamp","1","1",50.57583,14.67102
"3","Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel",0,"Swamp","1","1",50.57583,14.67102
"4","Closterium_cf._abruptum_W._West",0,"Swamp","1","1",50.57583,14.67102
"5","Closterium_angustatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"6","Closterium_attenuatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"7","Closterium_baillyanum_(Ralfs)_Br_b.",1,"Swamp","1","1",50.57583,14.67102
"8","Closterium_calosporum_Wittr.",1,"Swamp","1","1",50.57583,14.67102
"9","Closterium_costatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"10","Closterium_dianae_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"11","Closterium_directum_W._Archer",0,"Swamp","1","1",50.57583,14.67102
"12","Closterium_gracile_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"13","Closterium_juncidum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"14","Closterium_lineatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"15","Closterium_lunula_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"16","Closterium_cf._macilentum_Br_b.",0,"Swamp","1","1",50.57583,14.67102
"17","Closterium_navicula_(Br_b.)_LÙtkem.",0,"Swamp","1","1",50.57583,14.67102
"18","Closterium_parvulum_N_geli",0,"Swamp","1","1",50.57583,14.67102
"19","Closterium_pronum_Br_b.",0,"Swamp","1","1",50.57583,14.67102
"20","Closterium_setaceum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"21","Closterium_striolatum_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"22","Cosmarium_amoenum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"23","Cosmarium_angulosum_Br_b.",0,"Swamp","1","1",50.57583,14.67102
"24","Cosmarium_blyttii_Wille",0,"Swamp","1","1",50.57583,14.67102
"25","Cosmarium_contractum_Kirchn.",0,"Swamp","1","1",50.57583,14.67102
"26","Cosmarium_difficile_LÙtkem.",0,"Swamp","1","1",50.57583,14.67102
"27","Cosmarium_discrepans___astn__et_Kouwets",0,"Swamp","1","1",50.57583,14.67102
"28","Cosmarium_goniodes_var._subturgidum_W._et_G._S._West",0,"Swamp","1","1",50.57583,14.67102
"29","Cosmarium_margaritiferum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"30","Cosmarium_messikommeri_Coesel",0,"Swamp","1","1",50.57583,14.67102
"31","Cosmarium_obsoletum_(Hantzsch)_Reinsch",0,"Swamp","1","1",50.57583,14.67102
"32","Cosmarium_ordinatum_(BÀrges.)_W._et_G_.S._West",0,"Swamp","1","1",50.57583,14.67102
"33","Cosmarium_ornatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"34","Cosmarium_paragranatoides_Skuja",0,"Swamp","1","1",50.57583,14.67102
"35","Cosmarium_prominulum_var._subundulatum_W._et_G._S._West",1,"Swamp","1","1",50.57583,14.67102
"36","Cosmarium_pseudoornatum_B._Eichler_et_Gutw.",0,"Swamp","1","1",50.57583,14.67102
"37","Cosmarium_pseudopyramidatum__P._Lundell",0,"Swamp","1","1",50.57583,14.67102
"38","Cosmarium_cf._pseudoretusum_F._Ducell",0,"Swamp","1","1",50.57583,14.67102
"39","Cosmarium_pyramidatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"40","Cosmarium_regnellii_Wille",0,"Swamp","1","1",50.57583,14.67102
"41","Cosmarium_sphagnicolum_W._et_G._S._West",0,"Swamp","1","1",50.57583,14.67102
"42","Cosmarium_tinctum_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"43","Cosmarium_sp._1",0,"Swamp","1","1",50.57583,14.67102
"44","Cosmarium_sp._2_(smaller_C._contractum)",0,"Swamp","1","1",50.57583,14.67102
"45","Cosmarium_sp._3",0,"Swamp","1","1",50.57583,14.67102
"46","Cylindrocystis_brebissonii_De_Bary",0,"Swamp","1","1",50.57583,14.67102
"47","Cylindrocystis_crassa_De_Bary",0,"Swamp","1","1",50.57583,14.67102
"48","Cylindrocystis_gracilis_I._Hirn",0,"Swamp","1","1",50.57583,14.67102
"49","Euastrum_ansatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"50","Euastrum_binale_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"51","Euastrum_denticulatum_F._Gay",0,"Swamp","1","1",50.57583,14.67102
"52","Euastrum_elegans_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"53","Euastrum_gayanum_De_Toni",0,"Swamp","1","1",50.57583,14.67102
"54","Euastrum_humerosum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"55","Euastrum_insigne_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"56","Euastrum_oblongum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"57","Euastrum_pectinatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"58","Euastrum_pinnatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"59","Euastrum_verrucosum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"60","Haplotaenium_minutum_(Ralfs)_Bando",0,"Swamp","1","1",50.57583,14.67102
"61","Haplotaenium_rectum_(Delponte)_Bando",1,"Swamp","1","1",50.57583,14.67102
"62","Mesotaenium_endlicherianum_N_geli",0,"Swamp","1","1",50.57583,14.67102
"63","Micrasterias_jenneri_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"64","Micrasterias_oscitans_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"65","Micrasterias_rotata_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"66","Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad",0,"Swamp","1","1",50.57583,14.67102
"67","Micrasterias_truncata_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"68","Netrium_digitus_Itzigs._et_Rothe",0,"Swamp","1","1",50.57583,14.67102
"69","Netrium_oblongum_(De_Bary)_LÙtkem.",0,"Swamp","1","1",50.57583,14.67102
"70","Penium_cylindrus_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"71","Penium_spirostriolatum_J._Barker",0,"Swamp","1","1",50.57583,14.67102
"72","Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary",0,"Swamp","1","1",50.57583,14.67102
"73","Staurastrum_aculeatum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"74","Staurastrum_hirsutum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"75","Staurastrum_hystrix_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"76","Staurastrum_inflexum_Br_b.",0,"Swamp","1","1",50.57583,14.67102
"77","Staurastrum_micron_W._et_G._S._West",0,"Swamp","1","1",50.57583,14.67102
"78","Staurastrum_minimum_Coesel",0,"Swamp","1","1",50.57583,14.67102
"79","Staurastrum_polymorphum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"80","Staurastrum_punctulatum_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"81","Staurastrum_scabrum_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"82","Staurastrum_simonyi_Heimerl",1,"Swamp","1","1",50.57583,14.67102
"83","Staurastrum_teliferum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"84","Staurastrum_tetracerum_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"85","Staurastrum_sp._1",0,"Swamp","1","1",50.57583,14.67102
"86","Staurastrum_sp._2",0,"Swamp","1","1",50.57583,14.67102
"87","Staurastrum_sp._3",0,"Swamp","1","1",50.57583,14.67102
"88","Staurodesmus_dejectus_(Ralfs)_Teiling",0,"Swamp","1","1",50.57583,14.67102
"89","Staurodesmus_extensus_(Borge)_Teiling",0,"Swamp","1","1",50.57583,14.67102
"90","Staurodesmus_incus_(Br_b.)_Teiling",1,"Swamp","1","1",50.57583,14.67102
"91","Tetmemorus_brebissonii_Ralfs",0,"Swamp","1","1",50.57583,14.67102
"92","Tetmemorus_granulatus_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"93","Tetmemorus_laevis_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"94","Xanthidium_antilopaeum_var._laeve_Schmidle",0,"Swamp","1","1",50.57583,14.67102
"95","Xanthidium_armatum_Ralfs",1,"Swamp","1","1",50.57583,14.67102
"96","Actinotaenium_cruciferum_(De_Bary)_Teiling",1,"Swamp","1","2",50.57589,14.67093
"97","Actinotaenium_cucurbita_(Ralfs)_Teiling",1,"Swamp","1","2",50.57589,14.67093
"98","Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel",0,"Swamp","1","2",50.57589,14.67093
"99","Closterium_cf._abruptum_W._West",1,"Swamp","1","2",50.57589,14.67093
"100","Closterium_angustatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"101","Closterium_attenuatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"102","Closterium_baillyanum_(Ralfs)_Br_b.",1,"Swamp","1","2",50.57589,14.67093
"103","Closterium_calosporum_Wittr.",1,"Swamp","1","2",50.57589,14.67093
"104","Closterium_costatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"105","Closterium_dianae_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"106","Closterium_directum_W._Archer",0,"Swamp","1","2",50.57589,14.67093
"107","Closterium_gracile_Ralfs",1,"Swamp","1","2",50.57589,14.67093
